0.15789,0.15789,0.68421,0,0.1796,0.17501,0.64539
0.15789,0.21053,0.63158,1,0.18497,0.23562,0.57941
0.15789,0.26316,0.57895,2,0.16999,0.30288,0.52714
0.15789,0.31579,0.52632,3,0.1692,0.36252,0.46828
0.15789,0.36842,0.47368,4,0.14871,0.3948,0.45649
0.15789,0.42105,0.42105,5,0.16684,0.42671,0.40646
0.15789,0.47368,0.36842,6,0.16457,0.43082,0.40461
0.15789,0.52632,0.31579,7,0.16422,0.48063,0.35515
0.15789,0.57895,0.26316,8,0.15641,0.49827,0.34532
0.15789,0.63158,0.21053,9,0.18594,0.57507,0.23899
0.15789,0.68421,0.15789,10,0.17715,0.63993,0.18291
0.21053,0.15789,0.63158,11,0.23205,0.1848,0.58315
0.21053,0.21053,0.57895,12,0.19925,0.21629,0.58446
0.21053,0.26316,0.52632,13,0.24584,0.22788,0.52628
0.21053,0.31579,0.47368,14,0.19449,0.35926,0.44625
0.21053,0.36842,0.42105,15,0.1976,0.38395,0.41845
0.21053,0.42105,0.36842,16,0.18881,0.41926,0.39193
0.21053,0.47368,0.31579,17,0.21029,0.44621,0.3435
0.21053,0.52632,0.26316,18,0.20927,0.47903,0.3117
0.21053,0.57895,0.21053,19,0.21802,0.54225,0.23973
0.21053,0.63158,0.15789,20,0.22447,0.58672,0.1888
0.26316,0.15789,0.57895,21,0.28634,0.17468,0.53899
0.26316,0.21053,0.52632,22,0.25813,0.23654,0.50532
0.26316,0.26316,0.47368,23,0.2524,0.23316,0.51444
0.26316,0.31579,0.42105,24,0.23116,0.32359,0.44525
0.26316,0.36842,0.36842,25,0.23726,0.40855,0.35419
0.26316,0.42105,0.31579,26,0.24126,0.40855,0.35019
0.26316,0.47368,0.26316,27,0.2389,0.50315,0.25795
0.26316,0.52632,0.21053,28,0.24656,0.51906,0.23437
0.26316,0.57895,0.15789,29,0.24978,0.59197,0.15825
0.31579,0.15789,0.52632,30,0.34807,0.16846,0.48347
0.31579,0.21053,0.47368,31,0.32747,0.19068,0.48186
0.31579,0.26316,0.42105,32,0.30357,0.28363,0.4128
0.31579,0.31579,0.36842,33,0.32879,0.30772,0.36348
0.31579,0.36842,0.31579,34,0.32833,0.37278,0.29889
0.31579,0.42105,0.26316,35,0.32062,0.43589,0.24349
0.31579,0.47368,0.21053,36,0.32548,0.47658,0.19794
0.31579,0.52632,0.15789,37,0.29299,0.54356,0.16345
0.36842,0.15789,0.47368,38,0.37661,0.14553,0.47785
0.36842,0.21053,0.42105,39,0.40315,0.18693,0.40991
0.36842,0.26316,0.36842,40,0.38893,0.2903,0.32077
0.36842,0.31579,0.31579,41,0.34292,0.34411,0.31298
0.36842,0.36842,0.26316,42,0.39472,0.33129,0.27399
0.36842,0.42105,0.21053,43,0.3499,0.43804,0.21207
0.36842,0.47368,0.15789,44,0.38298,0.44609,0.17093
0.42105,0.15789,0.42105,45,0.4306,0.16416,0.40524
0.42105,0.21053,0.36842,46,0.41696,0.18397,0.39907
0.42105,0.26316,0.31579,47,0.42663,0.2387,0.33468
0.42105,0.31579,0.26316,48,0.47374,0.27,0.25625
0.42105,0.36842,0.21053,49,0.39766,0.40913,0.19321
0.42105,0.42105,0.15789,50,0.39916,0.43366,0.16719
0.47368,0.15789,0.36842,51,0.47423,0.16397,0.36179
0.47368,0.21053,0.31579,52,0.43465,0.19967,0.36568
0.47368,0.26316,0.26316,53,0.5042,0.24508,0.25072
0.47368,0.31579,0.21053,54,0.46307,0.33212,0.20481
0.47368,0.36842,0.15789,55,0.48894,0.3538,0.15726
0.52632,0.15789,0.31579,56,0.47349,0.15322,0.37329
0.52632,0.21053,0.26316,57,0.51582,0.19356,0.29062
0.52632,0.26316,0.21053,58,0.49199,0.25838,0.24963
0.52632,0.31579,0.15789,59,0.49822,0.34692,0.15486
0.57895,0.15789,0.26316,60,0.50966,0.15183,0.33851
0.57895,0.21053,0.21053,61,0.54584,0.19968,0.25449
0.57895,0.26316,0.15789,62,0.54139,0.29184,0.16677
0.63158,0.15789,0.21053,63,0.60809,0.17076,0.22115
0.63158,0.21053,0.15789,64,0.58829,0.20763,0.20409
0.68421,0.15789,0.15789,65,0.66216,0.1594,0.17844
